,CompanyName,CompanyNumber,names,roles
695,00062246 PLC,00062246,"['STONE, Arthur James:']",['Secretary']
727,00150042 PLC,00150042,[],[]
785,00358466 PLC,00358466,[],[]
808,00496454 PLC,00496454,"['KNIGHT, Yvonne:', 'CORT, Roger:', 'FINCH, Kenneth:', 'WALSH, David:']","['Secretary', 'Director', 'Director', 'Director']"
1093,01745110 PLC,01745110,"['ROBINSON, Harry:', 'JOLL, Dorothy Monica:', 'JOLL, Stephen:', 'ROBINSON, Harry:']","['Secretary', 'Director', 'Director', 'Director']"
1166,02229539 PLC,02229539,"['CALDER, Alan Philip:', 'CALDER, Alan Philip:']","['Secretary', 'Director']"
5384,1066 THE FILM PLC,06558400,"['PREBBLE, Lance:', 'JACOB, Robin:', 'PREBBLE, Lance Edmund Knights:']","['Secretary', 'Director', 'Director']"
5756,10A GROUP PLC,11774850,"['KOZAKIEWICZ, Jonathan:', 'KOZAKIEWICZ, Jonathan:']","['Secretary', 'Director']"
9128,123V PLC,SC178923,"['TASKER, Ann:', 'ANDERSON, Pamela:', 'DRYSDALE, Robert Stewart:', 'FREEMAN, David John:', 'FREEMAN, Jean Ann:', 'MARLIN, Alexandra Jayne:', 'MARLIN, Robin Arthur:', 'MARLIN, Samuel Arthur:', 'MARLIN, Soffia:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
9377,127 PICCADILLY PLC,02072531,"['STRANGWAYES BOOTH, Dermot Robert:', 'CHATFIELD-ROBERTS, John Henry:', 'FLOYD, David Henry Cecil:', 'YATES, Christian James Kurt:']","['Secretary', 'Director', 'Director', 'Director']"
14178,1644 CLUB PLC,09409467,"['EUROTAX SECRETARIES LTD:', 'HAMPDEN-WHITE, Colin George, Sir:', 'MARUSZEWSKI, Krzysztof Tomasz:', 'ORR, Christopher Andrew:']","['Secretary', 'Director', 'Director', 'Director']"
17937,1BB PLC,11701606,"['SANDERSON, Stephanie:', 'HODGETTS, Michael John:', 'SANDERSON, Carole:', 'WATSON, Luke Philip:']","['Secretary', 'Director', 'Director', 'Director']"
18440,1SPATIAL PLC,05429800,"['WALLACE, Susan Margaret:', 'FABIAN, Andrew Mark:', 'MASSEY, Peter John:', 'MILVERTON, Claire:', 'ROBERTS, Andrew Henry:', 'SMALL, Francis David:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
23115,2050 RENEWABLES PLC,SC674086,"['JACKSON, Hugh:', 'JACKSON, Hugh Alistair:', 'MARWICK, Fraser George:']","['Secretary', 'Director', 'Director']"
26057,235 DEVELOPERS PLC,12731562,"['STOEV, Pavlin:', 'QCF SECRETARIES LIMITED:', 'LATEV, Tenio:', 'STOEV, Pavlin:']","['Secretary', 'Secretary', 'Director', 'Director']"
34610,30 DEC 2020 PLC,10892052,[],[]
41282,3CS HOLDINGS PLC,06546470,"['MITOMI, Hiroko:', 'BENNETT, Terence Bernard:', 'CORFIELD, Richard Conyngham:', 'MITOMI, Hiroko:']","['Secretary', 'Director', 'Director', 'Director']"
42589,3I EUROPE PLC,02817344,"['3I PLC:', 'HALAI, Jasi Hari:', 'MURPHY, Jonathan Charles:']","['Secretary', 'Director', 'Director']"
42606,3I GROUP PLC,01142830,"['DUNN, Kevin John:', 'BANSZKY, Caroline Janet:', 'BORROWS, Simon Alexander:', 'DAINTITH, Stephen Wayne:', 'HUTCHISON, David Alexander Mccall:', 'MCCONVILLE, Coline Lucille:', 'SCHAAPVELD, Alexandra:', 'THOMPSON, Simon Robert:', 'WILSON, Julia Susan:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
42623,3I HOLDINGS PLC,02591431,"['MURPHY, Jonathan Charles:', 'DUNN, Kevin John:', 'WILSON, Julia Susan:']","['Secretary', 'Director', 'Director']"
42637,3I INTERNATIONAL SERVICES PLC,04206469,"['3I PLC:', 'CALDERWOOD, Clare:', 'DUNN, Kevin John:', 'HALAI, Jasi Hari:', 'MURPHY, Jonathan Charles:', 'RICHARDSON, Alastair Philip:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
42640,3I INVESTMENTS PLC,03975789,"['MURPHY, Jonathan Charles:', 'BORROWS, Simon Alexander:', 'DE JONG, Pieter Aart:', 'DUNN, Kevin John:', 'WHITE, Philip Joseph:', 'WILSON, Julia Susan:', 'WIRTZ, Peter Konrad:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
42662,3I NORDIC PLC,04166374,"['3I PLC:', 'HALAI, Jasi Hari:', 'MURPHY, Jonathan Charles:', 'RICHARDSON, Alastair Philip:']","['Secretary', 'Director', 'Director', 'Director']"
42684,3I PLC,00397156,"['MURPHY, Jonathan Charles:', 'DUNN, Kevin John:', 'WILSON, Julia Susan:']","['Secretary', 'Director', 'Director']"
42944,3LYON PLC,11375004,"['GRANT, Ronald Peter:', 'GUPTA, Rachana:']","['Director', 'Director']"
48220,456 NEWCO PLC,13211214,"['HACKWOOD SECRETARIES LIMITED:', 'NEWCOMBE, Paul Alan:', 'HACKWOOD DIRECTORS LIMITED:']","['Secretary', 'Director', 'Director']"
50062,4D PHARMA PLC,08840579,"['PEYTON, Duncan:', 'BARACCHINI, Edgardo, Dr.:', 'GLASMACHER, Axel Gaston, Professor Dr. Med.:', 'MACRAE, Alexander Donald, Dr:', 'MAIER, Paul Victor:', 'PEYTON, Duncan Joseph:', 'RUPALLA, Katrin:', 'STEVENSON, Alexander James:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
50529,4IMPRINT GROUP PLC,00177991,"['TAYLOR, Emma:', 'BRADY, Charles John:', 'GIBNEY, John Michael:', 'LYONS-TARR, Kevin:', 'MOODY, Paul Stephen:', 'SEEKINGS, David John Emmott:', 'SOUTHALL, Christina Dawn:', 'WARREN, John Anthony:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
